Gender,Age,Married,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
Male,31,No,0,37.257772,-122.051824,0,5,No Offer,Yes,7.83,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.25,109.8,0.0,0,39.15,148.95
Male,28,No,0,38.683605,-120.811852,0,4,Offer E,Yes,42.06,Yes,Yes,Fiber Optic,58.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,78.45,330.05,0.0,0,168.24,498.29
Female,53,Yes,3,37.802071,-122.411004,0,30,Offer C,Yes,48.43,No,Yes,Fiber Optic,58.0,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,86.45,2538.05,0.0,0,1452.9,3990.95
Male,44,No,0,37.84551,-122.235181,0,22,Offer D,Yes,10.33,Yes,Yes,Fiber Optic,19.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2317.1,0.0,0,227.26,2544.36
Female,26,Yes,3,34.557711,-118.029441,4,70,No Offer,Yes,5.51,Yes,Yes,Fiber Optic,85.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,110.2,7689.8,0.0,150,385.7,8225.5
Female,44,No,0,37.721052,-122.413573,0,16,No Offer,Yes,38.02,No,Yes,Fiber Optic,25.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.1,1212.85,0.0,0,608.32,1821.17
Female,37,No,0,37.943087,-122.72379,0,8,No Offer,Yes,42.78,No,Yes,DSL,27.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,54.25,447.75,0.0,0,342.24,789.99
Female,25,Yes,2,37.378541,-122.020456,2,72,No Offer,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47
Female,76,Yes,3,35.55647,-118.244914,2,28,No Offer,No,0.0,No Phone Service,Yes,DSL,21.0,No,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,39.1,1096.6,0.0,0,0.0,1096.6
Female,20,Yes,0,37.950248,-122.022455,1,49,No Offer,Yes,12.39,No,Yes,Fiber Optic,46.0,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,99.4,5025.0,0.0,10,607.11,5642.11
Female,62,Yes,0,34.049172,-118.115022,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0,2878.59,8405.34
Male,42,Yes,0,33.92128,-118.274186,5,72,Offer A,Yes,13.59,Yes,Yes,DSL,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,92.3,6719.9,0.0,0,978.48,7698.38
Female,49,No,0,39.748037,-122.302169,0,1,No Offer,Yes,18.34,No,Yes,Fiber Optic,6.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.4,94.4,0.0,0,18.34,112.74
Male,62,No,0,37.881842,-121.848111,0,22,No Offer,Yes,37.11,No,Yes,DSL,15.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,55.1,1253.15,0.0,0,816.42,2069.57
Male,31,No,0,36.784481,-121.759054,0,21,No Offer,Yes,22.53,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card,20.35,422.7,0.0,0,473.13,895.83
Male,50,No,0,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45
Male,45,Yes,0,38.554383,-122.474773,3,70,Offer A,Yes,1.07,No,Yes,Fiber Optic,21.0,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,84.6,5706.2,0.0,0,74.9,5781.1
Male,67,No,0,33.902045,-118.008961,0,65,No Offer,Yes,4.4,Yes,Yes,Fiber Optic,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.05,7108.2,34.67,0,286.0,7359.53
Female,34,No,0,37.974498,-121.319568,0,15,No Offer,Yes,31.68,No,Yes,Cable,23.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,48.85,736.8,0.0,0,475.2,1212.0
Male,44,Yes,0,33.787165,-117.931889,7,44,No Offer,Yes,32.22,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,24.85,1013.6,0.0,0,1417.68,2431.28
Male,71,Yes,0,40.160386,-120.835428,1,51,Offer B,No,0.0,No Phone Service,Yes,DSL,21.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,29.45,1459.35,0.0,0,0.0,1459.35
Female,39,Yes,2,33.529047,-117.701175,4,12,No Offer,Yes,39.59,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.25,274.7,0.0,0,475.08,749.78
Male,52,No,0,32.787836,-117.232376,0,69,Offer A,Yes,20.44,Yes,Yes,Fiber Optic,3.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.7,7220.35,0.0,0,1410.36,8630.71
Female,38,Yes,3,33.688546,-117.788091,1,24,Offer C,Yes,4.47,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.9,533.5,0.0,0,107.28,640.78
Male,59,Yes,0,39.672813,-120.456699,0,67,No Offer,Yes,47.46,No,Yes,DSL,20.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,69.2,4671.65,0.0,0,3179.82,7851.47
Female,38,Yes,0,37.731505,-122.384532,1,63,Offer B,Yes,49.08,Yes,Yes,Cable,24.0,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,79.7,4786.15,0.0,30,3092.04,7908.19
Female,19,No,0,41.33832,-122.290756,0,19,No Offer,No,0.0,No Phone Service,Yes,DSL,59.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39.7,710.05,0.0,110,0.0,820.05
Male,78,Yes,0,39.108252,-123.645121,9,32,Offer C,Yes,43.54,Yes,Yes,Fiber Optic,3.0,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,93.5,2970.8,0.0,0,1393.28,4364.08
Male,37,No,0,34.050198,-118.210946,0,57,No Offer,Yes,38.73,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.75,1118.8,0.0,0,2207.61,3326.41
Male,68,Yes,0,33.570023,-117.773669,1,44,No Offer,Yes,24.62,Yes,Yes,Cable,14.0,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,88.4,3912.9,0.0,0,1083.28,4996.18
Female,53,Yes,3,33.728273,-118.085304,8,52,Offer B,Yes,8.16,Yes,Yes,Fiber Optic,20.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,95.7,4976.15,0.0,0,424.32,5400.47
Female,79,No,0,32.957195,-117.202542,0,42,No Offer,Yes,9.53,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0.0,0,400.26,3941.61
Female,59,Yes,0,39.903272,-121.843567,7,51,No Offer,Yes,20.47,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,25.5,1281.25,0.0,0,1043.97,2325.22
Male,26,Yes,1,38.608405,-121.449942,7,72,No Offer,Yes,21.29,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.6,8337.45,26.7,0,1532.88,9843.63
Female,52,No,0,34.002028,-118.430656,0,36,Offer C,Yes,28.41,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.8,3886.45,0.0,0,1022.76,4909.21
Female,33,Yes,3,38.787446,-122.58675,1,72,No Offer,Yes,41.14,Yes,Yes,Fiber Optic,53.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.75,8672.45,0.0,0,2962.08,11634.53
Male,71,No,0,38.140719,-121.838298,0,35,No Offer,Yes,20.83,Yes,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85
Female,42,No,0,35.116307,-118.817644,0,65,Offer B,Yes,33.71,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,26.5,1698.55,0.0,0,2191.15,3889.7
Female,75,No,0,38.652065,-121.25441,0,25,No Offer,Yes,36.5,Yes,Yes,Fiber Optic,30.0,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,102.8,2660.2,0.0,0,912.5,3572.7
Female,44,Yes,0,39.913777,-122.289984,1,53,No Offer,Yes,30.09,No,Yes,Fiber Optic,11.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,5769.75,0.0,0,1594.77,7364.52
Female,33,No,0,34.711224,-114.702256,0,38,Offer C,Yes,41.63,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.05,741.5,0.0,0,1581.94,2323.44
Female,53,No,0,34.195685,-118.490752,0,17,No Offer,Yes,5.49,Yes,Yes,DSL,14.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,69.0,1108.0,33.67,0,93.33,1167.66
Female,31,No,0,36.600193,-120.153393,0,27,Offer C,Yes,39.62,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,2383.6,0.0,0,1069.74,3453.34
Male,77,Yes,0,38.121601,-120.133915,4,45,No Offer,Yes,9.39,Yes,Yes,DSL,22.0,Yes,No,Yes,Yes,No,Yes,No,Yes,Two Year,No,Credit Card,75.15,3480.35,0.0,0,422.55,3902.9
Male,70,No,0,34.099869,-118.326843,0,51,Offer B,Yes,19.49,Yes,Yes,Fiber Optic,11.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.8,4913.3,0.0,0,993.99,5907.29
Female,22,Yes,1,37.791481,-121.903253,3,33,Offer C,Yes,1.71,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,24.15,800.3,0.0,0,56.43,856.73
Female,56,No,0,34.049671,-117.468896,0,51,Offer B,Yes,44.35,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,24.95,1288.0,0.0,0,2261.85,3549.85
Female,67,Yes,0,33.290907,-117.202895,0,5,Offer E,Yes,9.56,No,Yes,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,69.35,341.6,0.0,0,47.8,389.4
Male,62,No,0,33.975332,-118.355252,0,52,No Offer,Yes,28.3,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,21.0,1107.2,0.0,0,1471.6,2578.8
Male,60,No,0,40.390301,-123.412327,0,24,No Offer,Yes,9.53,No,Yes,Fiber Optic,24.0,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,2107.15,0.0,0,228.72,2335.87
Male,53,Yes,1,36.248708,-121.386617,2,64,No Offer,Yes,30.82,Yes,Yes,Fiber Optic,11.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,93.4,5822.3,0.0,0,1972.48,7794.78
Male,28,Yes,0,39.955587,-123.681175,0,72,No Offer,Yes,21.26,Yes,Yes,Fiber Optic,53.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.95,7875.0,0.0,0,1530.72,9405.72
Female,32,No,0,38.018065,-122.546024,0,7,No Offer,Yes,6.83,No,Yes,DSL,17.0,Yes,No,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,59.1,369.25,0.0,0,47.81,417.06
Male,30,Yes,0,37.750778,-121.13238,4,64,No Offer,Yes,25.74,No,Yes,DSL,51.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Mailed Check,69.25,4447.75,0.0,0,1647.36,6095.11
Female,39,No,0,37.171727,-122.142961,0,2,No Offer,Yes,14.07,Yes,Yes,Fiber Optic,6.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,169.8,0.0,0,28.14,197.94
Female,27,No,0,37.348129,-121.98469,0,6,No Offer,Yes,37.57,No,Yes,Cable,58.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.0,340.4,0.0,0,225.42,565.82
Male,28,No,0,34.002642,-118.287596,0,25,Offer C,Yes,7.55,No,Yes,DSL,71.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,79.0,1902.0,0.0,0,188.75,2090.75
Male,80,Yes,0,34.097863,-116.594561,4,34,Offer C,Yes,29.66,No,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.2,2874.45,0.0,0,1008.44,3882.89
Male,62,No,0,37.750553,-122.197175,0,53,No Offer,Yes,23.17,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.65,978.0,0.0,0,1228.01,2206.01
Female,21,No,0,38.556306,-121.495817,0,5,No Offer,Yes,3.61,No,Yes,DSL,69.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.2,308.25,0.0,0,18.05,326.3
Male,25,Yes,0,37.257063,-121.923037,4,24,Offer C,No,0.0,No Phone Service,Yes,DSL,51.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,29.1,688.0,0.0,0,0.0,688.0
Female,74,No,0,38.99003,-121.114408,0,26,No Offer,Yes,47.63,Yes,Yes,Fiber Optic,26.0,Yes,Yes,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,2497.2,0.0,60,1238.38,3795.58
Male,42,Yes,3,32.807867,-117.060993,2,62,No Offer,Yes,1.76,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0.0,0,109.12,6934.77
Male,40,No,1,34.213049,-118.317651,0,1,No Offer,Yes,26.85,No,Yes,Fiber Optic,11.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,84.6,84.6,0.0,0,26.85,111.45
Male,72,No,1,34.089953,-118.294824,0,7,No Offer,Yes,41.14,No,Yes,DSL,17.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,45.75,344.2,29.0,0,287.98,603.18
Male,32,Yes,0,33.976328,-117.319786,7,28,Offer C,Yes,28.86,No,Yes,Cable,24.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,60.9,1785.65,0.0,0,808.08,2593.73
Male,74,No,0,37.521708,-120.426843,0,9,No Offer,Yes,7.11,No,Yes,DSL,12.0,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,49.2,447.9,0.0,0,63.99,511.89
Female,26,Yes,0,38.696659,-123.436861,9,66,No Offer,Yes,24.27,No,Yes,Cable,59.0,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,58.2,3810.8,0.0,0,1601.82,5412.62
Female,60,Yes,0,33.976753,-117.897367,1,45,No Offer,Yes,42.04,No,Yes,Cable,26.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,54.15,2319.8,0.0,0,1891.8,4211.6
Female,37,Yes,0,34.057256,-117.667677,5,62,Offer B,Yes,44.95,No,Yes,Fiber Optic,5.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.3,6613.65,0.0,0,2786.9,9400.55
Male,23,Yes,9,35.996008,-120.85305,1,21,Offer D,No,0.0,No Phone Service,Yes,DSL,59.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,26.05,565.75,0.0,0,0.0,565.75
Female,30,Yes,2,34.956577,-119.750142,1,4,No Offer,Yes,28.55,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.95,82.9,0.0,0,114.2,197.1
Female,76,No,0,34.031529,-118.491156,0,44,No Offer,Yes,7.72,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82
Female,53,Yes,3,34.647959,-117.296957,8,55,Offer B,Yes,38.51,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,21.0,1210.3,0.0,0,2118.05,3328.35
Female,79,Yes,0,38.065359,-122.665566,1,50,No Offer,Yes,36.58,Yes,Yes,Fiber Optic,23.0,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.65,5189.75,0.0,0,1829.0,7018.75
Female,66,No,0,35.989792,-121.055933,0,16,No Offer,Yes,32.11,Yes,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.4,1581.2,47.2,0,513.76,2047.76
Female,20,Yes,2,33.944624,-118.192615,9,58,No Offer,Yes,39.05,No,Yes,Fiber Optic,76.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,99.25,5846.65,0.0,0,2264.9,8111.55
Male,64,Yes,0,36.527243,-118.594938,4,45,Offer B,Yes,1.59,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,81.4,3775.85,0.0,0,71.55,3847.4
Male,29,No,0,41.082472,-121.195215,0,10,No Offer,Yes,33.98,Yes,Yes,DSL,59.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.5,568.2,0.0,0,339.8,908.0
Female,43,Yes,1,36.456091,-119.486225,3,12,No Offer,Yes,24.65,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,20.1,232.4,0.0,0,295.8,528.2
Male,42,Yes,0,39.033058,-121.895718,7,68,Offer A,No,0.0,No Phone Service,Yes,Cable,16.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.1,3794.5,0.0,0,0.0,3794.5
Male,63,Yes,0,38.852544,-120.837669,3,45,Offer B,Yes,30.8,No,Yes,Cable,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,84.35,3858.05,0.0,0,1386.0,5244.05
Male,66,Yes,0,35.478736,-115.516984,2,64,No Offer,Yes,20.19,Yes,Yes,Fiber Optic,8.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.1,6538.45,0.0,0,1292.16,7830.61
Male,64,No,0,37.529656,-120.854357,0,1,No Offer,Yes,45.86,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.35,69.35,0.0,0,45.86,115.21
Female,21,Yes,1,35.865795,-118.69759,1,15,No Offer,Yes,29.55,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,25.25,394.85,0.0,0,443.25,838.1
Male,53,Yes,1,36.186867,-120.387793,5,69,Offer A,Yes,21.56,Yes,Yes,Fiber Optic,17.0,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.2,5420.65,0.0,0,1487.64,6908.29
Female,20,Yes,1,39.292334,-121.320597,1,19,No Offer,Yes,31.58,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,24.9,467.7,0.0,0,600.02,1067.72
Male,23,Yes,0,33.923573,-118.200669,8,37,Offer C,Yes,13.13,Yes,Yes,Fiber Optic,58.0,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,94.3,3460.95,0.0,0,485.81,3946.76
Female,62,No,2,37.721052,-122.413573,0,12,No Offer,Yes,16.96,Yes,Yes,Fiber Optic,18.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.3,1275.65,0.0,0,203.52,1479.17
Female,30,No,0,40.965011,-124.015255,0,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0.0,0,714.7,8842.3
Male,44,Yes,0,38.415003,-122.998726,6,53,No Offer,Yes,32.94,Yes,Yes,Fiber Optic,17.0,No,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,97.75,5043.2,0.0,0,1745.82,6789.02
Male,20,Yes,1,38.505995,-123.187019,10,5,No Offer,Yes,8.04,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.45,86.05,0.0,0,40.2,126.25
Male,41,No,0,38.287136,-122.02711,0,17,No Offer,Yes,42.66,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,20.5,365.8,0.0,0,725.22,1091.02
Female,24,Yes,0,32.980678,-116.262854,2,24,No Offer,Yes,44.93,Yes,Yes,Fiber Optic,82.0,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,79.65,1928.7,0.0,0,1078.32,3007.02
Female,27,No,0,33.678591,-117.905471,0,35,Offer C,Yes,8.8,Yes,Yes,Cable,46.0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,85.95,3110.1,0.0,0,308.0,3418.1
Female,21,Yes,0,32.787836,-117.232376,5,3,No Offer,Yes,23.26,Yes,Yes,Fiber Optic,42.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.2,292.85,0.0,20,69.78,382.63
